#{"t_start": 1631093261.7550159, "env_id": null}
r,l,t
-260.463728,131,8.621076
-188.149513,64,11.398841
-449.716658,163,18.107371
600.555443,190,25.763039
-131.955603,471,44.734396
520.245693,1175,91.34116
-383.316194,120,96.276736
-525.768056,299,108.552624
315.811362,136,114.085388
-276.986509,1045,156.569563
-521.444319,179,164.503737
-123.550873,474,183.829369
639.936036,1085,228.522504
-382.680606,74,231.573025
57.940513,315,244.501441
574.009538,644,270.412496
-349.829001,256,280.972838
-291.867055,230,290.603103
-361.555478,543,314.134324
220.948563,61,316.633614
182.663642,216,325.285981
340.0249,95,329.125388
-567.003587,117,334.23209
-782.578418,481,355.460253
642.499104,179,363.406662
171.012638,376,378.73513
404.876557,272,389.576846
307.389946,134,394.914414
-69.738591,271,406.033686
-283.344337,204,414.512601
191.152086,105,419.179343
-747.011327,405,435.857146
-91.114387,46,437.889402
-425.213514,150,444.113857
406.162048,172,450.997663
-661.108857,342,464.630911
-501.057944,599,488.448591
-251.58296,98,492.40985
-761.344237,148,498.581666
-180.929925,677,525.844805
-189.473862,137,531.7932
-480.556406,108,536.566418
-486.27714,56,539.167523
-298.158838,60,541.978902
-366.859849,117,547.007942
-219.326893,36,548.644579
185.104009,125,553.482861
-303.019087,104,557.887891
154.033655,60,560.387069
-481.70017,622,585.822664
152.98896,333,599.129239
-481.143932,211,607.889062
215.941508,397,623.687678
-186.394067,23,624.74131
-86.249991,51,626.92396
-141.757641,41,628.747021
-194.047547,48,630.929744
-411.974252,131,636.301745
-722.563783,163,642.886917
233.6042,274,654.04371
193.912484,372,668.921954
221.68804,360,683.228425
360.416911,444,700.756504
-290.97524,153,707.082144
-183.268145,612,731.572655
-338.633958,405,747.623028
-238.806445,36,749.269122
272.566957,629,774.402076
-523.937156,150,780.499037
-532.521382,498,800.418412
-297.924384,31,801.801341
-228.916853,78,805.036315
-165.312708,18,805.860309
819.67376,593,829.39361
-249.771975,130,834.905514
514.472664,304,846.894882
-15.734658,429,863.985086
-458.081168,189,871.523535
-245.433897,337,884.795719
378.576363,140,890.313948
217.759131,815,922.379236
-221.60811,221,931.324577
330.791542,270,942.077886
-79.390473,225,951.094328
-453.26874,122,956.234332
289.165451,160,962.564717
333.712677,486,981.811363
-537.81934,140,987.635729
-194.078641,25,988.816165
346.774158,447,1006.649877
109.480067,1024,1048.081093
-450.930044,77,1051.297562
141.363709,539,1073.525282
-284.681204,305,1086.308504
-394.957339,89,1090.040953
629.217486,152,1096.226917
-488.849271,59,1098.816654
320.456661,388,1114.244667
-288.553079,493,1134.609462
-621.7669,259,1145.517198
-283.260393,180,1153.072717
-312.666929,194,1161.045932
329.961776,469,1179.38223
-174.98741,193,1187.365734
-312.007639,48,1189.384077
-194.422466,193,1197.181772
-640.235817,1013,1239.071535
-313.660891,191,1246.854919
-321.97205,184,1254.571996
-324.558567,376,1269.648725
481.169957,873,1304.858775
-625.180666,143,1310.776641
-305.669059,111,1315.43246
-258.861647,32,1316.853515
-372.718679,293,1328.974611
-425.055168,116,1333.792017
-651.798913,194,1341.771577
-474.627162,738,1371.861162
240.734683,94,1375.790513
-213.881772,53,1378.08108
-763.962688,665,1404.879528
355.164785,597,1429.316228
-490.414034,362,1444.094887
-378.007033,60,1446.690233
487.974896,492,1465.876085
377.370322,398,1481.638601
-350.916535,78,1485.136717
-193.017405,146,1491.086269
-509.010857,404,1507.351213
357.139584,152,1513.674672
-346.734563,219,1522.814936
170.830108,590,1546.48609
280.950053,87,1549.930876
-457.397111,162,1556.497364
-235.445493,317,1569.498706
-481.679949,50,1571.611727
-408.781991,232,1580.878586
-537.658634,62,1583.500151
319.777996,102,1587.506552
-285.011661,35,1588.993664
-264.807775,45,1590.960434
424.757446,489,1610.346362
-88.994535,50,1612.566413
-346.364556,381,1627.872411
-295.377286,59,1630.397649
-481.842438,947,1668.494808
-235.517044,256,1678.763549
-435.342098,60,1681.282181
-367.504146,111,1685.808676
290.139091,483,1705.039129
-46.357024,53,1707.340993
-584.999004,323,1720.135823
-151.717962,323,1733.679588
243.559307,188,1741.219887
269.392641,690,1768.651044
-146.866369,237,1778.444933
-328.343988,168,1785.411434
-162.05873,36,1786.997188
-80.533755,143,1792.876012
512.096314,1019,1833.552313
-698.912815,131,1838.852624
-472.436932,91,1842.681076
510.708424,1149,1888.221457
-659.300727,297,1900.098713
-598.644354,197,1908.09347
258.334489,194,1915.853654
403.415532,836,1949.237982
-153.484027,330,1963.257712
695.095791,243,1973.134825
-653.03175,220,1981.939923
37.486172,306,1994.557006
291.989789,37,1996.153256
-31.336021,219,2005.102977
-108.391088,69,2008.05761
-414.60919,123,2013.104055
-406.94052,87,2016.741286
274.680217,510,2036.854265
413.965424,460,2055.570787
245.85453,206,2063.674917
-441.525101,587,2087.393129
166.422873,381,2102.6879
-220.732284,52,2104.942297
-631.778928,148,2111.122889
258.835736,349,2125.434367
-355.226587,109,2130.054217
-648.542751,615,2154.434765
-161.98986,28,2155.682808
-308.37902,1009,2196.307698
358.619293,269,2207.272923
-550.822583,106,2211.676333
172.019607,203,2219.929886
-32.369083,129,2225.25051
-266.156085,104,2229.708637
-500.56783,74,2233.000783
-578.018229,318,2245.6752
-278.344036,59,2248.23282
691.009045,362,2262.333498
-217.039485,237,2271.881949
232.902129,73,2274.81451
381.333548,476,2293.700411
-351.796877,800,2326.000406
366.551759,238,2335.469521
172.135017,384,2350.623634
-250.958772,423,2367.850432
-373.86321,762,2398.390597
291.862866,536,2419.583442
144.028837,816,2452.087878
141.169199,236,2461.561012
486.107314,74,2464.512257
458.832397,97,2468.430135
254.689098,171,2475.093111
358.55285,425,2491.968036
437.602884,329,2504.947563
212.001175,40,2506.560911
505.767185,354,2520.72847
332.685081,119,2525.495906
